s_center,x,y,yaw,curvature,steering,d_delta_ds,segment_length,lateral_offset,speed_85,accel_85,steering_rate_85
10.712388980,10.661317164,-4.610095178,0.331007743,0.158357025,0.157052889,0.012691972,0.093836228,0.342713457,6.152105799,2.800000000,0.078082355
10.811577767,10.749829404,-4.578937176,0.345925575,0.159591483,0.158256917,0.012968991,0.093406132,0.360074376,6.194666144,2.800000000,0.080338568
10.910766554,10.837462751,-4.546609138,0.360891311,0.160847228,0.159481233,0.013244229,0.092990424,0.376905959,6.236742978,2.763598234,0.082600853
11.009955341,10.924213855,-4.513120860,0.375908171,0.162124041,0.160725596,0.013611295,0.092588792,0.393219004,6.277813259,-2.233323472,0.085449169
11.109144128,11.010078941,-4.478481699,0.390980162,0.163439612,0.162007207,0.016174222,0.092200952,0.409024309,6.244788056,-2.501242301,0.101004589
11.208332915,11.095053751,-4.442700458,0.406130436,0.165192926,0.163714426,0.020930568,0.091827125,0.424332828,6.207748708,-2.478935546,0.129931705
11.307521702,11.179132628,-4.405782127,0.421400903,0.167396826,0.165859019,0.023694929,0.091467399,0.439159079,6.170970506,-2.453159288,0.146220709
11.406710488,11.262308164,-4.367728018,0.436815698,0.169657827,0.168057577,0.024274447,0.091121242,0.453521150,6.134501511,-2.425667435,0.148911631
11.505899275,11.344571855,-4.328539167,0.452379857,0.171956676,0.170291257,0.024744080,0.090788101,0.467437282,6.098364463,-2.396424522,0.150898420
11.605088062,11.425914134,-4.288216559,0.468097432,0.174292138,0.172558756,0.025199346,0.090467423,0.480925717,6.062583234,-2.365367041,0.152773131
11.704276849,11.506324372,-4.246761184,0.483972322,0.176662983,0.174858778,0.025640188,0.090158661,0.494004698,6.027183268,-2.332396472,0.154538114
11.803465636,11.585790875,-4.204174105,0.500008270,0.179068002,0.177190043,0.026066691,0.089861276,0.506692465,5.992192141,-2.297370319,0.156196619
11.902654423,11.664300887,-4.160456524,0.516208868,0.181506011,0.179551302,0.026479069,0.089574729,0.519007261,5.957640254,-2.260090394,0.157752766
12.001843210,11.741840600,-4.115609840,0.532577559,0.183975865,0.181941341,0.026877666,0.089298492,0.530967327,5.923561718,-2.220287191,0.159211516
12.101031996,11.818395161,-4.069635718,0.549117639,0.186476468,0.184358996,0.027262949,0.089032040,0.542590905,5.889995487,-2.177598618,0.160578647
12.200220783,11.893948682,-4.022536148,0.565832261,0.189006779,0.186803157,0.027635498,0.088774856,0.553896237,5.856986831,-2.131540356,0.161860748
12.299409570,11.968484257,-3.974313507,0.582724440,0.191565824,0.189272778,0.027996002,0.088526430,0.564901565,5.824589287,-2.081463432,0.163065212
12.398598357,12.041983978,-3.924970626,0.599797057,0.194152698,0.191766884,0.028345249,0.088286261,0.575625131,5.792867279,-2.026491530,0.164200267
12.497787144,12.114428952,-3.874510845,0.617052868,0.196766581,0.194284578,0.028684122,0.088053853,0.586085175,5.761899738,-1.965424867,0.165275034
12.596975931,12.185799326,-3.822938074,0.634494504,0.199406733,0.196825046,0.029013584,0.087828721,0.596299941,5.731785248,-1.896585937,0.166299632
12.696164717,12.256074310,-3.770256855,0.652124481,0.202072511,0.199387562,0.029334676,0.087610387,0.606287670,5.702649620,-1.817557557,0.167285377
12.795353504,12.325232203,-3.716472418,0.669945208,0.204763365,0.201971495,0.029648505,0.087398382,0.616066603,5.674657598,-1.724704459,0.168245112
12.894542291,12.393250425,-3.661590738,0.687958988,0.207478850,0.204576310,0.029956237,0.087192248,0.625654983,5.648032055,-1.612209946,0.169193785
12.993731078,12.460105545,-3.605618594,0.706168033,0.210218622,0.207201573,0.030259089,0.086991534,0.635071051,5.623088269,-1.469846321,0.170149528
13.092919865,12.525773318,-3.548563616,0.724574466,0.212982450,0.209846953,0.030558321,0.086795800,0.644333049,5.600302965,-1.276548458,0.171135857
13.192108652,12.590228722,-3.490434347,0.743180330,0.215770209,0.212512223,0.030855230,0.086604617,0.653459218,5.580483421,-0.972033139,0.172187097
13.291297439,12.653445993,-3.431240291,0.761987597,0.218581892,0.215197263,0.028460409,0.086417564,0.662467802,5.565377804,-0.413306894,0.158392926
13.390486225,12.715398669,-3.370991961,0.780977089,0.220929273,0.217436504,0.015203234,0.086233893,0.671377040,5.558956390,0.000000000,0.084514113
13.489675012,12.776061978,-3.309703730,0.800044850,0.221333748,0.217822123,0.001736504,0.086051944,0.680201523,5.558956390,0.000000000,0.009653151
13.588863799,12.835420371,-3.247401898,0.819085893,0.221243071,0.217735680,-0.001050733,0.085871386,0.688941225,5.558956390,0.154174711,-0.005840981
13.688052586,12.893461268,-3.184115649,0.838078865,0.221144260,0.217641477,-0.001144500,0.085692301,0.697592468,5.561337478,0.000000000,-0.006364950
13.787241373,12.950172814,-3.119874144,0.857023420,0.221037115,0.217539325,-0.001240851,0.085514772,0.706151574,5.561337478,0.182392240,-0.006900789
13.886430160,13.005543871,-3.054706497,0.875919218,0.220921439,0.217429035,-0.001339740,0.085338882,0.714614866,5.564141354,0.000000119,-0.007454505
13.985618947,13.059564009,-2.988641760,0.894765925,0.220797044,0.217310425,-0.001441120,0.085164716,0.722978666,5.564141355,0.212266127,-0.008018594
14.084807733,13.112223491,-2.921708900,0.913563214,0.220663744,0.217183319,-0.001544933,0.084992359,0.731239295,5.567389352,0.000000000,-0.008601245
14.183996520,13.163513269,-2.853936782,0.932310763,0.220521363,0.217047544,-0.001651121,0.084821897,0.739393076,5.567389352,0.243774144,-0.009192434
14.283185307,13.213424963,-2.785354154,0.951008260,0.220369726,0.216902935,-0.001759618,0.084653415,0.747436331,5.571102132,0.000000119,-0.009803010
14.382374094,13.261950859,-2.715989623,0.969655401,0.220208669,0.216749332,-0.001870353,0.084487001,0.755365382,5.571102134,0.261446606,-0.010419925
14.481562881,13.309083888,-2.645871645,0.988251892,0.220038034,0.216586583,-0.001983249,0.084322741,0.763176551,5.575065620,0.088610122,-0.011056745
14.580751668,13.354817617,-2.575028503,1.006797448,0.219857669,0.216414540,-0.002098226,0.084160725,0.770866160,5.576405685,0.198963999,-0.011700559
14.679940455,13.399146235,-2.503488295,1.025291794,0.219667430,0.216233066,-0.002215195,0.084001041,0.778430532,5.579407699,0.141003554,-0.012359475
14.779129241,13.442064539,-2.431278919,1.043734668,0.219467183,0.216042029,-0.002334063,0.083843779,0.785865988,5.581530181,0.184477721,-0.013027640
14.878318028,13.483567919,-2.358428052,1.062125818,0.219256801,0.215841306,-0.002454730,0.083689029,0.793168850,5.584300652,0.175805237,-0.013707950
14.977506815,13.523652343,-2.284963146,1.080465007,0.219036166,0.215630782,-0.002577092,0.083536881,0.800335441,5.586934733,0.191979709,-0.014398044
15.076695602,13.562314342,-2.210911405,1.098752010,0.218805170,0.215410350,-0.002701038,0.083387428,0.807362082,5.589804513,0.198705260,-0.015098272
15.175884389,13.599550995,-2.136299779,1.116986616,0.218563713,0.215179913,-0.002826450,0.083240761,0.814245096,5.592767967,0.208822796,-0.015807678
15.275073176,13.635359915,-2.061154948,1.135168632,0.218311707,0.214939383,-0.002953206,0.083096974,0.820980805,5.595875148,0.218200436,-0.016525773
15.374261963,13.669739227,-1.985503312,1.153297877,0.218049072,0.214688683,-0.003081178,0.082956161,0.827565531,5.599114417,0.227910598,-0.017251869
15.473450749,13.702687558,-1.909370980,1.171374189,0.217775742,0.214427744,-0.003151162,0.082818415,0.833995596,5.602490110,0.237720827,-0.017654354
15.572639536,13.734204018,-1.832783758,1.189397848,0.217501915,0.214166301,-0.001855885,0.082683836,0.840267322,5.606003100,0.106127701,-0.010404097
15.671828323,13.764288117,-1.755767112,1.207378930,0.217454044,0.214120591,0.000768533,0.082552619,0.846377102,5.607568176,-0.156773119,0.004309602
15.771017110,13.792938334,-1.678345539,1.225336972,0.217634916,0.214293290,0.002114660,0.082424914,0.852322945,5.605259743,-0.170848041,0.011853220
15.870205897,13.820152032,-1.600542705,1.243282295,0.217819440,0.214469462,0.002100407,0.082300737,0.858104480,5.602746872,-0.131223348,0.011768047
15.969394684,13.845926830,-1.522382158,1.261215498,0.217997322,0.214639281,0.002026172,0.082180100,0.863721405,5.600818954,-0.182855273,0.011348223
16.068583471,13.870260655,-1.443887357,1.279136762,0.218168543,0.214802729,0.001951421,0.082063011,0.869173419,5.598135299,-0.093521546,0.010924316
16.167772257,13.893151744,-1.365081673,1.297046272,0.218333084,0.214959789,0.001876173,0.081949482,0.874460220,5.596764200,-0.211864916,0.010500499
16.266961044,13.914598631,-1.285988382,1.314944218,0.218490927,0.215110445,0.001800451,0.081839523,0.879581507,5.593661151,-0.044457408,0.010071113
16.366149831,13.934600148,-1.206630667,1.332830794,0.218642056,0.215254683,0.001724275,0.081733143,0.884536978,5.593010667,-0.242509503,0.009643891
16.465338618,13.953155417,-1.127031618,1.350706200,0.218786454,0.215392489,0.001647667,0.081630353,0.889326331,5.589465645,-0.000000119,0.009209580
16.564527405,13.970263846,-1.047214226,1.368570640,0.218924109,0.215523851,0.001570648,0.081531162,0.893949264,5.589465643,-0.222931017,0.008779084
16.663716192,13.985925126,-0.967201385,1.386424322,0.219055006,0.215648758,0.001493239,0.081435582,0.898405477,5.586212897,0.000000000,0.008341550
16.762904979,14.000139223,-0.887015891,1.404267462,0.219179134,0.215767200,0.001415461,0.081343622,0.902694667,5.586212897,-0.199244642,0.007907064
16.862093765,14.012906373,-0.806680440,1.422100275,0.219296482,0.215879166,0.001337334,0.081255291,0.906816534,5.583310843,-0.000000119,0.007466754
16.961282552,14.024227083,-0.726217630,1.439922987,0.219407040,0.215984649,0.001258881,0.081170600,0.910770774,5.583310841,-0.175502436,0.007028726
17.060471339,14.034102121,-0.645649957,1.457735822,0.219510799,0.216083641,0.001180122,0.081089558,0.914557088,5.580758790,-0.000000119,0.006585978
17.159660126,14.042532514,-0.564999817,1.475539013,0.219607753,0.216176136,0.001101078,0.081012176,0.918175173,5.580758788,-0.151712794,0.006144851
17.258848913,14.049519544,-0.484289508,1.493332796,0.219697894,0.216262127,0.001021769,0.080938462,0.921624727,5.578556039,-0.000000119,0.005699998
17.358037700,14.055064744,-0.403541223,1.511117411,0.219781216,0.216341612,0.000942217,0.080868427,0.924905449,5.578556038,-0.127883799,0.005256208
17.457226487,14.059169892,-0.322777059,1.528893101,0.219857715,0.216414585,0.000862440,0.080802080,0.928017038,5.576701887,0.000000000,0.004809572
17.556415273,14.061837010,-0.242019009,1.546660115,0.219927387,0.216481043,0.000782460,0.080739431,0.930959192,5.576701887,-0.104022589,0.004363547
17.655604060,14.063068360,-0.161288968,1.564418705,0.219990228,0.216540984,0.000702297,0.080680488,0.933731609,5.575195646,0.000000000,0.003915442
17.754792847,14.062866438,-0.080608733,1.582169128,0.220046238,0.216594408,0.000597192,0.080625261,0.936333988,5.575195646,-0.058095782,0.003329464
17.853981634,14.061233973,0.000000000,1.599911474,0.220091223,0.216637315,0.000392524,0.080573760,0.938766027,5.574355435,0.000000000,0.002188070
17.953170421,14.058173952,0.080515632,1.617645162,0.220112577,0.216657682,0.000187110,0.080525992,0.941027397,5.574355435,-0.011909332,0.001043016
18.052359208,14.053689694,0.160916670,1.635369611,0.220122827,0.216667458,0.000080490,0.080481969,0.943117661,5.574183393,0.000000000,0.000448664
